Date_key,Dates,Day_name,Month_name,Year_name
19900410,1990-04-10,Tuesday,April,1990
19900411,1990-04-11,Wednesday,April,1990
19900412,1990-04-12,Thursday,April,1990
19900413,1990-04-13,Friday,April,1990
19900414,1990-04-14,Saturday,April,1990
19900415,1990-04-15,Sunday,April,1990
19900416,1990-04-16,Monday,April,1990
19900417,1990-04-17,Tuesday,April,1990
19900418,1990-04-18,Wednesday,April,1990
19900419,1990-04-19,Thursday,April,1990
19900420,1990-04-20,Friday,April,1990
19900421,1990-04-21,Saturday,April,1990
19900422,1990-04-22,Sunday,April,1990
19900423,1990-04-23,Monday,April,1990
19900424,1990-04-24,Tuesday,April,1990
19900425,1990-04-25,Wednesday,April,1990
19900426,1990-04-26,Thursday,April,1990
19900427,1990-04-27,Friday,April,1990
19900428,1990-04-28,Saturday,April,1990
19900429,1990-04-29,Sunday,April,1990
19900430,1990-04-30,Monday,April,1990
19900501,1990-05-01,Tuesday,May,1990
19900502,1990-05-02,Wednesday,May,1990
19900503,1990-05-03,Thursday,May,1990
19900504,1990-05-04,Friday,May,1990
19900505,1990-05-05,Saturday,May,1990
19900506,1990-05-06,Sunday,May,1990
19900507,1990-05-07,Monday,May,1990
19900508,1990-05-08,Tuesday,May,1990
19900509,1990-05-09,Wednesday,May,1990
19900510,1990-05-10,Thursday,May,1990
19900511,1990-05-11,Friday,May,1990
19900512,1990-05-12,Saturday,May,1990
19900513,1990-05-13,Sunday,May,1990
19900514,1990-05-14,Monday,May,1990
19900515,1990-05-15,Tuesday,May,1990
19900516,1990-05-16,Wednesday,May,1990
19900517,1990-05-17,Thursday,May,1990
19900518,1990-05-18,Friday,May,1990
19900519,1990-05-19,Saturday,May,1990
19900520,1990-05-20,Sunday,May,1990
19900521,1990-05-21,Monday,May,1990
19900522,1990-05-22,Tuesday,May,1990
19900523,1990-05-23,Wednesday,May,1990
19900524,1990-05-24,Thursday,May,1990
19900525,1990-05-25,Friday,May,1990
19900526,1990-05-26,Saturday,May,1990
19900527,1990-05-27,Sunday,May,1990
19900528,1990-05-28,Monday,May,1990
19900529,1990-05-29,Tuesday,May,1990
19900530,1990-05-30,Wednesday,May,1990
19900531,1990-05-31,Thursday,May,1990
19900601,1990-06-01,Friday,June,1990
19900602,1990-06-02,Saturday,June,1990
19900603,1990-06-03,Sunday,June,1990
19900604,1990-06-04,Monday,June,1990
19900605,1990-06-05,Tuesday,June,1990
19900606,1990-06-06,Wednesday,June,1990
19900607,1990-06-07,Thursday,June,1990
19900608,1990-06-08,Friday,June,1990
19900609,1990-06-09,Saturday,June,1990
19900610,1990-06-10,Sunday,June,1990
19900611,1990-06-11,Monday,June,1990
19900612,1990-06-12,Tuesday,June,1990
19900613,1990-06-13,Wednesday,June,1990
19900614,1990-06-14,Thursday,June,1990
19900615,1990-06-15,Friday,June,1990
19900616,1990-06-16,Saturday,June,1990
19900617,1990-06-17,Sunday,June,1990
19900618,1990-06-18,Monday,June,1990
19900619,1990-06-19,Tuesday,June,1990
19900620,1990-06-20,Wednesday,June,1990
19900621,1990-06-21,Thursday,June,1990
19900622,1990-06-22,Friday,June,1990
19900623,1990-06-23,Saturday,June,1990
19900624,1990-06-24,Sunday,June,1990
19900625,1990-06-25,Monday,June,1990
19900626,1990-06-26,Tuesday,June,1990
19900627,1990-06-27,Wednesday,June,1990
19900628,1990-06-28,Thursday,June,1990
19900629,1990-06-29,Friday,June,1990
19900630,1990-06-30,Saturday,June,1990
19900701,1990-07-01,Sunday,July,1990
19900702,1990-07-02,Monday,July,1990
19900703,1990-07-03,Tuesday,July,1990
19900704,1990-07-04,Wednesday,July,1990
19900705,1990-07-05,Thursday,July,1990
19900706,1990-07-06,Friday,July,1990
19900707,1990-07-07,Saturday,July,1990
19900708,1990-07-08,Sunday,July,1990
19900709,1990-07-09,Monday,July,1990
19900710,1990-07-10,Tuesday,July,1990
19900711,1990-07-11,Wednesday,July,1990
19900712,1990-07-12,Thursday,July,1990
19900713,1990-07-13,Friday,July,1990
19900714,1990-07-14,Saturday,July,1990
19900715,1990-07-15,Sunday,July,1990
19900716,1990-07-16,Monday,July,1990
19900717,1990-07-17,Tuesday,July,1990
19900718,1990-07-18,Wednesday,July,1990
19900719,1990-07-19,Thursday,July,1990
19900720,1990-07-20,Friday,July,1990
19900721,1990-07-21,Saturday,July,1990
19900722,1990-07-22,Sunday,July,1990
19900723,1990-07-23,Monday,July,1990
19900724,1990-07-24,Tuesday,July,1990
19900725,1990-07-25,Wednesday,July,1990
19900726,1990-07-26,Thursday,July,1990
19900727,1990-07-27,Friday,July,1990
19900728,1990-07-28,Saturday,July,1990
19900729,1990-07-29,Sunday,July,1990
19900730,1990-07-30,Monday,July,1990
19900731,1990-07-31,Tuesday,July,1990
19900801,1990-08-01,Wednesday,August,1990
19900802,1990-08-02,Thursday,August,1990
19900803,1990-08-03,Friday,August,1990
19900804,1990-08-04,Saturday,August,1990
19900805,1990-08-05,Sunday,August,1990
19900806,1990-08-06,Monday,August,1990
19900807,1990-08-07,Tuesday,August,1990
19900808,1990-08-08,Wednesday,August,1990
19900809,1990-08-09,Thursday,August,1990
19900810,1990-08-10,Friday,August,1990
19900811,1990-08-11,Saturday,August,1990
19900812,1990-08-12,Sunday,August,1990
19900813,1990-08-13,Monday,August,1990
19900814,1990-08-14,Tuesday,August,1990
19900815,1990-08-15,Wednesday,August,1990
19900816,1990-08-16,Thursday,August,1990
19900817,1990-08-17,Friday,August,1990
19900818,1990-08-18,Saturday,August,1990
19900819,1990-08-19,Sunday,August,1990
19900820,1990-08-20,Monday,August,1990
19900821,1990-08-21,Tuesday,August,1990
19900822,1990-08-22,Wednesday,August,1990
19900823,1990-08-23,Thursday,August,1990
19900824,1990-08-24,Friday,August,1990
19900825,1990-08-25,Saturday,August,1990
19900826,1990-08-26,Sunday,August,1990
19900827,1990-08-27,Monday,August,1990
19900828,1990-08-28,Tuesday,August,1990
19900829,1990-08-29,Wednesday,August,1990
19900830,1990-08-30,Thursday,August,1990
19900831,1990-08-31,Friday,August,1990
19900901,1990-09-01,Saturday,September,1990
19900902,1990-09-02,Sunday,September,1990
19900903,1990-09-03,Monday,September,1990
19900904,1990-09-04,Tuesday,September,1990
19900905,1990-09-05,Wednesday,September,1990
19900906,1990-09-06,Thursday,September,1990
19900907,1990-09-07,Friday,September,1990
19900908,1990-09-08,Saturday,September,1990
19900909,1990-09-09,Sunday,September,1990
19900910,1990-09-10,Monday,September,1990
19900911,1990-09-11,Tuesday,September,1990
19900912,1990-09-12,Wednesday,September,1990
19900913,1990-09-13,Thursday,September,1990
19900914,1990-09-14,Friday,September,1990
19900915,1990-09-15,Saturday,September,1990
19900916,1990-09-16,Sunday,September,1990
19900917,1990-09-17,Monday,September,1990
19900918,1990-09-18,Tuesday,September,1990
19900919,1990-09-19,Wednesday,September,1990
19900920,1990-09-20,Thursday,September,1990
19900921,1990-09-21,Friday,September,1990
19900922,1990-09-22,Saturday,September,1990
19900923,1990-09-23,Sunday,September,1990
19900924,1990-09-24,Monday,September,1990
19900925,1990-09-25,Tuesday,September,1990
19900926,1990-09-26,Wednesday,September,1990
19900927,1990-09-27,Thursday,September,1990
19900928,1990-09-28,Friday,September,1990
19900929,1990-09-29,Saturday,September,1990
19900930,1990-09-30,Sunday,September,1990
19901001,1990-10-01,Monday,October,1990
19901002,1990-10-02,Tuesday,October,1990
19901003,1990-10-03,Wednesday,October,1990
19901004,1990-10-04,Thursday,October,1990
19901005,1990-10-05,Friday,October,1990
19901006,1990-10-06,Saturday,October,1990
19901007,1990-10-07,Sunday,October,1990
19901008,1990-10-08,Monday,October,1990
19901009,1990-10-09,Tuesday,October,1990
19901010,1990-10-10,Wednesday,October,1990
19901011,1990-10-11,Thursday,October,1990
19901012,1990-10-12,Friday,October,1990
19901013,1990-10-13,Saturday,October,1990
19901014,1990-10-14,Sunday,October,1990
19901015,1990-10-15,Monday,October,1990
19901016,1990-10-16,Tuesday,October,1990
19901017,1990-10-17,Wednesday,October,1990
19901018,1990-10-18,Thursday,October,1990
19901019,1990-10-19,Friday,October,1990
19901020,1990-10-20,Saturday,October,1990
19901021,1990-10-21,Sunday,October,1990
19901022,1990-10-22,Monday,October,1990
19901023,1990-10-23,Tuesday,October,1990
19901024,1990-10-24,Wednesday,October,1990
19901025,1990-10-25,Thursday,October,1990
19901026,1990-10-26,Friday,October,1990
19901027,1990-10-27,Saturday,October,1990
19901028,1990-10-28,Sunday,October,1990
19901029,1990-10-29,Monday,October,1990
19901030,1990-10-30,Tuesday,October,1990
19901031,1990-10-31,Wednesday,October,1990
19901101,1990-11-01,Thursday,November,1990
19901102,1990-11-02,Friday,November,1990
19901103,1990-11-03,Saturday,November,1990
19901104,1990-11-04,Sunday,November,1990
19901105,1990-11-05,Monday,November,1990
19901106,1990-11-06,Tuesday,November,1990
19901107,1990-11-07,Wednesday,November,1990
19901108,1990-11-08,Thursday,November,1990
19901109,1990-11-09,Friday,November,1990
19901110,1990-11-10,Saturday,November,1990
19901111,1990-11-11,Sunday,November,1990
19901112,1990-11-12,Monday,November,1990
19901113,1990-11-13,Tuesday,November,1990
19901114,1990-11-14,Wednesday,November,1990
19901115,1990-11-15,Thursday,November,1990
19901116,1990-11-16,Friday,November,1990
19901117,1990-11-17,Saturday,November,1990
19901118,1990-11-18,Sunday,November,1990
19901119,1990-11-19,Monday,November,1990
19901120,1990-11-20,Tuesday,November,1990
19901121,1990-11-21,Wednesday,November,1990
19901122,1990-11-22,Thursday,November,1990
19901123,1990-11-23,Friday,November,1990
19901124,1990-11-24,Saturday,November,1990
19901125,1990-11-25,Sunday,November,1990
19901126,1990-11-26,Monday,November,1990
19901127,1990-11-27,Tuesday,November,1990
19901128,1990-11-28,Wednesday,November,1990
19901129,1990-11-29,Thursday,November,1990
19901130,1990-11-30,Friday,November,1990
19901201,1990-12-01,Saturday,December,1990
19901202,1990-12-02,Sunday,December,1990
19901203,1990-12-03,Monday,December,1990
19901204,1990-12-04,Tuesday,December,1990
19901205,1990-12-05,Wednesday,December,1990
19901206,1990-12-06,Thursday,December,1990
19901207,1990-12-07,Friday,December,1990
19901208,1990-12-08,Saturday,December,1990
19901209,1990-12-09,Sunday,December,1990
19901210,1990-12-10,Monday,December,1990
19901211,1990-12-11,Tuesday,December,1990
19901212,1990-12-12,Wednesday,December,1990
19901213,1990-12-13,Thursday,December,1990
19901214,1990-12-14,Friday,December,1990
19901215,1990-12-15,Saturday,December,1990
19901216,1990-12-16,Sunday,December,1990
19901217,1990-12-17,Monday,December,1990
19901218,1990-12-18,Tuesday,December,1990
19901219,1990-12-19,Wednesday,December,1990
19901220,1990-12-20,Thursday,December,1990
19901221,1990-12-21,Friday,December,1990
19901222,1990-12-22,Saturday,December,1990
19901223,1990-12-23,Sunday,December,1990
19901224,1990-12-24,Monday,December,1990
19901225,1990-12-25,Tuesday,December,1990
19901226,1990-12-26,Wednesday,December,1990
19901227,1990-12-27,Thursday,December,1990
19901228,1990-12-28,Friday,December,1990
19901229,1990-12-29,Saturday,December,1990
19901230,1990-12-30,Sunday,December,1990
19901231,1990-12-31,Monday,December,1990
19910101,1991-01-01,Tuesday,January,1991
19910102,1991-01-02,Wednesday,January,1991
19910103,1991-01-03,Thursday,January,1991
19910104,1991-01-04,Friday,January,1991
19910105,1991-01-05,Saturday,January,1991
19910106,1991-01-06,Sunday,January,1991
19910107,1991-01-07,Monday,January,1991
19910108,1991-01-08,Tuesday,January,1991
19910109,1991-01-09,Wednesday,January,1991
19910110,1991-01-10,Thursday,January,1991
19910111,1991-01-11,Friday,January,1991
19910112,1991-01-12,Saturday,January,1991
19910113,1991-01-13,Sunday,January,1991
19910114,1991-01-14,Monday,January,1991
19910115,1991-01-15,Tuesday,January,1991
19910116,1991-01-16,Wednesday,January,1991
19910117,1991-01-17,Thursday,January,1991
19910118,1991-01-18,Friday,January,1991
19910119,1991-01-19,Saturday,January,1991
19910120,1991-01-20,Sunday,January,1991
19910121,1991-01-21,Monday,January,1991
19910122,1991-01-22,Tuesday,January,1991
19910123,1991-01-23,Wednesday,January,1991
19910124,1991-01-24,Thursday,January,1991
19910125,1991-01-25,Friday,January,1991
19910126,1991-01-26,Saturday,January,1991
19910127,1991-01-27,Sunday,January,1991
19910128,1991-01-28,Monday,January,1991
19910129,1991-01-29,Tuesday,January,1991
19910130,1991-01-30,Wednesday,January,1991
19910131,1991-01-31,Thursday,January,1991
19910201,1991-02-01,Friday,February,1991
19910202,1991-02-02,Saturday,February,1991
19910203,1991-02-03,Sunday,February,1991
19910204,1991-02-04,Monday,February,1991
19910205,1991-02-05,Tuesday,February,1991
19910206,1991-02-06,Wednesday,February,1991
19910207,1991-02-07,Thursday,February,1991
19910208,1991-02-08,Friday,February,1991
19910209,1991-02-09,Saturday,February,1991
19910210,1991-02-10,Sunday,February,1991
19910211,1991-02-11,Monday,February,1991
19910212,1991-02-12,Tuesday,February,1991
19910213,1991-02-13,Wednesday,February,1991
19910214,1991-02-14,Thursday,February,1991
19910215,1991-02-15,Friday,February,1991
19910216,1991-02-16,Saturday,February,1991
19910217,1991-02-17,Sunday,February,1991
19910218,1991-02-18,Monday,February,1991
19910219,1991-02-19,Tuesday,February,1991
19910220,1991-02-20,Wednesday,February,1991
19910221,1991-02-21,Thursday,February,1991
19910222,1991-02-22,Friday,February,1991
19910223,1991-02-23,Saturday,February,1991
19910224,1991-02-24,Sunday,February,1991
19910225,1991-02-25,Monday,February,1991
19910226,1991-02-26,Tuesday,February,1991
19910227,1991-02-27,Wednesday,February,1991
19910228,1991-02-28,Thursday,February,1991
19910301,1991-03-01,Friday,March,1991
19910302,1991-03-02,Saturday,March,1991
19910303,1991-03-03,Sunday,March,1991
19910304,1991-03-04,Monday,March,1991
19910305,1991-03-05,Tuesday,March,1991
19910306,1991-03-06,Wednesday,March,1991
19910307,1991-03-07,Thursday,March,1991
19910308,1991-03-08,Friday,March,1991
19910309,1991-03-09,Saturday,March,1991
19910310,1991-03-10,Sunday,March,1991
19910311,1991-03-11,Monday,March,1991
19910312,1991-03-12,Tuesday,March,1991
19910313,1991-03-13,Wednesday,March,1991
19910314,1991-03-14,Thursday,March,1991
19910315,1991-03-15,Friday,March,1991
19910316,1991-03-16,Saturday,March,1991
19910317,1991-03-17,Sunday,March,1991
19910318,1991-03-18,Monday,March,1991
19910319,1991-03-19,Tuesday,March,1991
19910320,1991-03-20,Wednesday,March,1991
19910321,1991-03-21,Thursday,March,1991
19910322,1991-03-22,Friday,March,1991
19910323,1991-03-23,Saturday,March,1991
19910324,1991-03-24,Sunday,March,1991
19910325,1991-03-25,Monday,March,1991
19910326,1991-03-26,Tuesday,March,1991
19910327,1991-03-27,Wednesday,March,1991
19910328,1991-03-28,Thursday,March,1991
19910329,1991-03-29,Friday,March,1991
19910330,1991-03-30,Saturday,March,1991
19910331,1991-03-31,Sunday,March,1991
19910401,1991-04-01,Monday,April,1991
19910402,1991-04-02,Tuesday,April,1991
19910403,1991-04-03,Wednesday,April,1991
19910404,1991-04-04,Thursday,April,1991
19910405,1991-04-05,Friday,April,1991
19910406,1991-04-06,Saturday,April,1991
19910407,1991-04-07,Sunday,April,1991
19910408,1991-04-08,Monday,April,1991
19910409,1991-04-09,Tuesday,April,1991
19910410,1991-04-10,Wednesday,April,1991
19910411,1991-04-11,Thursday,April,1991
19910412,1991-04-12,Friday,April,1991
19910413,1991-04-13,Saturday,April,1991
19910414,1991-04-14,Sunday,April,1991
19910415,1991-04-15,Monday,April,1991
19910416,1991-04-16,Tuesday,April,1991
19910417,1991-04-17,Wednesday,April,1991
19910418,1991-04-18,Thursday,April,1991
19910419,1991-04-19,Friday,April,1991
19910420,1991-04-20,Saturday,April,1991
19910421,1991-04-21,Sunday,April,1991
19910422,1991-04-22,Monday,April,1991
19910423,1991-04-23,Tuesday,April,1991
19910424,1991-04-24,Wednesday,April,1991
19910425,1991-04-25,Thursday,April,1991
19910426,1991-04-26,Friday,April,1991
19910427,1991-04-27,Saturday,April,1991
19910428,1991-04-28,Sunday,April,1991
19910429,1991-04-29,Monday,April,1991
19910430,1991-04-30,Tuesday,April,1991
19910501,1991-05-01,Wednesday,May,1991
19910502,1991-05-02,Thursday,May,1991
19910503,1991-05-03,Friday,May,1991
19910504,1991-05-04,Saturday,May,1991
19910505,1991-05-05,Sunday,May,1991
19910506,1991-05-06,Monday,May,1991
19910507,1991-05-07,Tuesday,May,1991
19910508,1991-05-08,Wednesday,May,1991
19910509,1991-05-09,Thursday,May,1991
19910510,1991-05-10,Friday,May,1991
19910511,1991-05-11,Saturday,May,1991
19910512,1991-05-12,Sunday,May,1991
19910513,1991-05-13,Monday,May,1991
19910514,1991-05-14,Tuesday,May,1991
19910515,1991-05-15,Wednesday,May,1991
19910516,1991-05-16,Thursday,May,1991
19910517,1991-05-17,Friday,May,1991
19910518,1991-05-18,Saturday,May,1991
19910519,1991-05-19,Sunday,May,1991
19910520,1991-05-20,Monday,May,1991
19910521,1991-05-21,Tuesday,May,1991
19910522,1991-05-22,Wednesday,May,1991
19910523,1991-05-23,Thursday,May,1991
19910524,1991-05-24,Friday,May,1991
19910525,1991-05-25,Saturday,May,1991
19910526,1991-05-26,Sunday,May,1991
19910527,1991-05-27,Monday,May,1991
19910528,1991-05-28,Tuesday,May,1991
19910529,1991-05-29,Wednesday,May,1991
19910530,1991-05-30,Thursday,May,1991
19910531,1991-05-31,Friday,May,1991
19910601,1991-06-01,Saturday,June,1991
19910602,1991-06-02,Sunday,June,1991
19910603,1991-06-03,Monday,June,1991
19910604,1991-06-04,Tuesday,June,1991
19910605,1991-06-05,Wednesday,June,1991
19910606,1991-06-06,Thursday,June,1991
19910607,1991-06-07,Friday,June,1991
19910608,1991-06-08,Saturday,June,1991
19910609,1991-06-09,Sunday,June,1991
19910610,1991-06-10,Monday,June,1991
19910611,1991-06-11,Tuesday,June,1991
19910612,1991-06-12,Wednesday,June,1991
19910613,1991-06-13,Thursday,June,1991
19910614,1991-06-14,Friday,June,1991
19910615,1991-06-15,Saturday,June,1991
19910616,1991-06-16,Sunday,June,1991
19910617,1991-06-17,Monday,June,1991
19910618,1991-06-18,Tuesday,June,1991
19910619,1991-06-19,Wednesday,June,1991
19910620,1991-06-20,Thursday,June,1991
19910621,1991-06-21,Friday,June,1991
19910622,1991-06-22,Saturday,June,1991
19910623,1991-06-23,Sunday,June,1991
19910624,1991-06-24,Monday,June,1991
19910625,1991-06-25,Tuesday,June,1991
19910626,1991-06-26,Wednesday,June,1991
19910627,1991-06-27,Thursday,June,1991
19910628,1991-06-28,Friday,June,1991
19910629,1991-06-29,Saturday,June,1991
19910630,1991-06-30,Sunday,June,1991
19910701,1991-07-01,Monday,July,1991
19910702,1991-07-02,Tuesday,July,1991
19910703,1991-07-03,Wednesday,July,1991
19910704,1991-07-04,Thursday,July,1991
19910705,1991-07-05,Friday,July,1991
19910706,1991-07-06,Saturday,July,1991
19910707,1991-07-07,Sunday,July,1991
19910708,1991-07-08,Monday,July,1991
19910709,1991-07-09,Tuesday,July,1991
19910710,1991-07-10,Wednesday,July,1991
19910711,1991-07-11,Thursday,July,1991
19910712,1991-07-12,Friday,July,1991
19910713,1991-07-13,Saturday,July,1991
19910714,1991-07-14,Sunday,July,1991
19910715,1991-07-15,Monday,July,1991
19910716,1991-07-16,Tuesday,July,1991
19910717,1991-07-17,Wednesday,July,1991
19910718,1991-07-18,Thursday,July,1991
19910719,1991-07-19,Friday,July,1991
19910720,1991-07-20,Saturday,July,1991
19910721,1991-07-21,Sunday,July,1991
19910722,1991-07-22,Monday,July,1991
19910723,1991-07-23,Tuesday,July,1991
19910724,1991-07-24,Wednesday,July,1991
19910725,1991-07-25,Thursday,July,1991
19910726,1991-07-26,Friday,July,1991
19910727,1991-07-27,Saturday,July,1991
19910728,1991-07-28,Sunday,July,1991
19910729,1991-07-29,Monday,July,1991
19910730,1991-07-30,Tuesday,July,1991
19910731,1991-07-31,Wednesday,July,1991
19910801,1991-08-01,Thursday,August,1991
19910802,1991-08-02,Friday,August,1991
19910803,1991-08-03,Saturday,August,1991
19910804,1991-08-04,Sunday,August,1991
19910805,1991-08-05,Monday,August,1991
19910806,1991-08-06,Tuesday,August,1991
19910807,1991-08-07,Wednesday,August,1991
19910808,1991-08-08,Thursday,August,1991
19910809,1991-08-09,Friday,August,1991
19910810,1991-08-10,Saturday,August,1991
19910811,1991-08-11,Sunday,August,1991
19910812,1991-08-12,Monday,August,1991
19910813,1991-08-13,Tuesday,August,1991
19910814,1991-08-14,Wednesday,August,1991
19910815,1991-08-15,Thursday,August,1991
19910816,1991-08-16,Friday,August,1991
19910817,1991-08-17,Saturday,August,1991
19910818,1991-08-18,Sunday,August,1991
19910819,1991-08-19,Monday,August,1991
19910820,1991-08-20,Tuesday,August,1991
19910821,1991-08-21,Wednesday,August,1991
19910822,1991-08-22,Thursday,August,1991
19910823,1991-08-23,Friday,August,1991
19910824,1991-08-24,Saturday,August,1991
19910825,1991-08-25,Sunday,August,1991
19910826,1991-08-26,Monday,August,1991
19910827,1991-08-27,Tuesday,August,1991
19910828,1991-08-28,Wednesday,August,1991
19910829,1991-08-29,Thursday,August,1991
19910830,1991-08-30,Friday,August,1991
19910831,1991-08-31,Saturday,August,1991
19910901,1991-09-01,Sunday,September,1991
19910902,1991-09-02,Monday,September,1991
19910903,1991-09-03,Tuesday,September,1991
19910904,1991-09-04,Wednesday,September,1991
19910905,1991-09-05,Thursday,September,1991
19910906,1991-09-06,Friday,September,1991
19910907,1991-09-07,Saturday,September,1991
19910908,1991-09-08,Sunday,September,1991
19910909,1991-09-09,Monday,September,1991
19910910,1991-09-10,Tuesday,September,1991
19910911,1991-09-11,Wednesday,September,1991
19910912,1991-09-12,Thursday,September,1991
19910913,1991-09-13,Friday,September,1991
19910914,1991-09-14,Saturday,September,1991
19910915,1991-09-15,Sunday,September,1991
19910916,1991-09-16,Monday,September,1991
19910917,1991-09-17,Tuesday,September,1991
19910918,1991-09-18,Wednesday,September,1991
19910919,1991-09-19,Thursday,September,1991
19910920,1991-09-20,Friday,September,1991
19910921,1991-09-21,Saturday,September,1991
19910922,1991-09-22,Sunday,September,1991
19910923,1991-09-23,Monday,September,1991
19910924,1991-09-24,Tuesday,September,1991
19910925,1991-09-25,Wednesday,September,1991
19910926,1991-09-26,Thursday,September,1991
19910927,1991-09-27,Friday,September,1991
19910928,1991-09-28,Saturday,September,1991
19910929,1991-09-29,Sunday,September,1991
19910930,1991-09-30,Monday,September,1991
19911001,1991-10-01,Tuesday,October,1991
19911002,1991-10-02,Wednesday,October,1991
19911003,1991-10-03,Thursday,October,1991
19911004,1991-10-04,Friday,October,1991
19911005,1991-10-05,Saturday,October,1991
19911006,1991-10-06,Sunday,October,1991
19911007,1991-10-07,Monday,October,1991
19911008,1991-10-08,Tuesday,October,1991
19911009,1991-10-09,Wednesday,October,1991
19911010,1991-10-10,Thursday,October,1991
19911011,1991-10-11,Friday,October,1991
19911012,1991-10-12,Saturday,October,1991
19911013,1991-10-13,Sunday,October,1991
19911014,1991-10-14,Monday,October,1991
19911015,1991-10-15,Tuesday,October,1991
19911016,1991-10-16,Wednesday,October,1991
19911017,1991-10-17,Thursday,October,1991
19911018,1991-10-18,Friday,October,1991
19911019,1991-10-19,Saturday,October,1991
19911020,1991-10-20,Sunday,October,1991
19911021,1991-10-21,Monday,October,1991
19911022,1991-10-22,Tuesday,October,1991
19911023,1991-10-23,Wednesday,October,1991
19911024,1991-10-24,Thursday,October,1991
19911025,1991-10-25,Friday,October,1991
19911026,1991-10-26,Saturday,October,1991
