Product_Name,Caffeine_Content_mg,Price_USD,Country,Sugar_Content_g
Energy Drink Z 72,93.2,9.47,UK,2.0
Energy Drink V 36,215.5,6.73,Canada,16.0
Energy Drink Z 44,210.1,7.72,France,43.4
Energy Drink Q 29,259.4,5.8,Japan,4.7
Energy Drink W 73,227.8,4.08,USA,7.2
Energy Drink O 71,282.3,6.56,Canada,3.0
Energy Drink O 25,270.3,1.74,South Korea,2.2
Energy Drink F 85,58.9,6.89,UK,7.0
Energy Drink S 43,233.9,9.28,UK,11.3
Energy Drink U 46,172.1,6.15,UK,38.4
Energy Drink L 83,104.3,1.84,UK,19.5
Energy Drink B 62,200.7,4.44,Canada,10.6
Energy Drink Q 57,291.6,9.38,UK,42.5
Energy Drink Q 72,226.7,4.03,UK,31.6
Energy Drink E 89,289.3,6.76,Germany,41.5
Energy Drink T 28,62.7,4.71,France,32.5
Energy Drink J 80,263.6,1.31,USA,17.8
Energy Drink A 33,181.0,3.93,Canada,29.6
Energy Drink Q 72,224.0,5.36,Germany,16.4
Energy Drink C 81,82.8,7.81,France,31.4
Energy Drink Y 3,97.0,6.1,South Korea,7.0
Energy Drink W 79,68.8,3.14,South Korea,28.0
Energy Drink W 35,70.8,1.68,Germany,23.7
Energy Drink N 75,163.1,3.11,Germany,39.6
Energy Drink H 76,127.7,8.63,South Korea,25.7
Energy Drink O 37,221.2,9.53,France,18.9
Energy Drink C 53,207.5,4.72,South Korea,35.8
Energy Drink W 81,134.7,1.76,France,24.1
Energy Drink H 25,296.1,7.68,France,6.9
Energy Drink V 79,118.2,9.53,Canada,7.7
Energy Drink U 77,151.2,2.53,USA,33.4
Energy Drink Q 5,186.2,3.01,Japan,35.7
Energy Drink A 23,157.7,9.04,USA,44.0
Energy Drink X 68,94.9,4.61,France,21.0
Energy Drink L 6,52.4,5.77,Germany,13.7
Energy Drink M 93,79.4,9.95,UK,22.4
Energy Drink Z 43,268.3,2.18,USA,34.5
Energy Drink J 46,256.5,1.33,South Korea,4.8
Energy Drink S 13,83.8,9.67,France,11.0
Energy Drink B 70,142.2,8.9,Japan,7.7
Energy Drink C 41,240.8,2.84,UK,20.4
Energy Drink O 47,193.1,4.94,UK,21.4
Energy Drink O 21,289.3,2.0,USA,42.5
Energy Drink P 5,234.6,1.24,France,34.8
Energy Drink H 59,266.8,5.78,France,32.5
Energy Drink N 38,104.6,1.59,Germany,45.4
Energy Drink Y 90,286.7,3.05,Canada,27.0
Energy Drink S 78,278.7,3.69,Canada,40.2
Energy Drink I 33,207.4,1.94,UK,46.5
Energy Drink M 27,153.4,9.84,Canada,33.1
Energy Drink W 78,229.5,7.19,Canada,4.2
Energy Drink Y 16,84.0,6.28,South Korea,27.1
Energy Drink C 66,174.2,4.36,Germany,9.5
Energy Drink D 79,232.4,5.37,UK,29.7
Energy Drink U 4,75.6,7.32,Canada,46.9
Energy Drink E 1,298.7,1.38,Germany,21.2
Energy Drink X 53,277.2,9.87,Germany,7.2
Energy Drink W 2,86.5,9.8,Germany,9.5
Energy Drink M 29,105.9,1.98,France,49.5
Energy Drink J 59,246.8,3.81,Japan,4.3
Energy Drink C 99,102.8,7.74,Canada,12.3
Energy Drink N 42,95.1,5.73,Germany,25.6
Energy Drink Q 85,93.7,5.49,UK,36.4
Energy Drink K 75,191.5,4.88,South Korea,7.2
Energy Drink I 89,175.0,2.62,USA,41.2
Energy Drink H 55,288.6,9.28,Canada,30.2
Energy Drink Q 94,216.6,4.37,France,3.3
Energy Drink A 66,186.5,2.52,Germany,32.9
Energy Drink N 55,129.1,9.99,France,32.5
Energy Drink Z 35,233.2,3.54,France,45.2
Energy Drink V 80,164.7,4.67,Japan,43.5
Energy Drink G 22,146.0,6.92,Canada,37.0
Energy Drink M 57,98.8,9.52,South Korea,38.1
Energy Drink D 36,229.4,9.19,France,8.4
Energy Drink J 97,263.6,1.49,South Korea,19.1
Energy Drink Z 89,126.3,2.88,South Korea,12.7
Energy Drink F 20,81.3,6.34,Canada,39.1
Energy Drink Q 22,102.7,9.27,France,17.5
Energy Drink A 97,188.1,7.23,Japan,15.6
Energy Drink Y 52,261.6,5.84,Canada,23.8
Energy Drink H 94,169.5,3.98,Canada,45.4
Energy Drink B 4,155.7,7.58,Japan,27.5
Energy Drink V 71,80.2,4.13,South Korea,8.8
Energy Drink T 35,166.2,4.7,Japan,21.8
Energy Drink P 67,129.2,8.98,France,3.0
Energy Drink O 80,164.6,5.85,USA,18.0
Energy Drink J 54,208.7,6.0,Germany,23.6
Energy Drink R 57,100.4,8.22,USA,46.9
Energy Drink L 100,204.2,2.61,Canada,47.4
Energy Drink Z 2,279.2,4.06,Canada,43.0
Energy Drink A 9,263.9,7.06,Canada,26.6
Energy Drink M 64,233.1,7.53,France,44.5
Energy Drink J 62,198.3,2.38,South Korea,18.9
Energy Drink I 86,77.3,4.09,France,18.7
Energy Drink U 23,196.5,7.92,USA,46.9
Energy Drink U 47,190.8,3.69,Canada,39.3
Energy Drink U 57,193.7,4.98,UK,14.8
Energy Drink U 40,245.8,8.08,France,0.9
Energy Drink Z 76,116.3,9.84,Canada,21.7
Energy Drink M 83,174.6,2.86,Germany,24.6
Energy Drink F 87,107.0,5.12,France,35.1
Energy Drink O 24,261.5,5.31,UK,36.1
Energy Drink X 71,147.5,1.85,USA,15.1
Energy Drink G 29,139.5,6.07,Germany,22.5
Energy Drink O 41,277.5,8.35,UK,36.7
Energy Drink F 89,227.0,4.31,South Korea,21.0
Energy Drink R 41,73.8,9.78,France,43.7
Energy Drink Q 33,221.2,5.63,South Korea,46.3
Energy Drink I 68,239.0,7.8,South Korea,10.2
Energy Drink D 78,294.3,1.74,USA,4.8
Energy Drink Y 95,266.1,8.61,Canada,26.2
Energy Drink N 30,141.0,5.24,Canada,5.5
Energy Drink E 38,284.8,5.14,France,17.3
Energy Drink D 100,93.7,5.52,Canada,37.6
Energy Drink D 42,132.4,8.86,Japan,35.5
Energy Drink O 47,81.9,6.95,France,23.9
Energy Drink Z 38,284.0,2.89,Japan,9.2
Energy Drink B 84,297.0,9.87,France,15.7
Energy Drink J 1,221.9,6.26,USA,24.4
Energy Drink R 10,291.2,9.28,Japan,40.0
Energy Drink V 63,143.7,6.35,Japan,29.5
Energy Drink K 77,170.0,7.09,Canada,42.4
Energy Drink O 77,116.2,1.97,Germany,2.6
Energy Drink Y 64,184.7,5.29,UK,20.9
Energy Drink W 5,74.7,3.5,South Korea,5.6
Energy Drink X 34,69.7,4.54,UK,31.2
Energy Drink A 52,78.4,6.42,Canada,16.8
Energy Drink F 63,225.1,4.09,Japan,45.4
Energy Drink P 93,60.5,6.64,Canada,27.7
Energy Drink K 40,174.1,8.78,Japan,33.2
Energy Drink K 95,124.3,7.87,France,41.1
Energy Drink Y 2,211.8,6.31,Canada,21.3
Energy Drink U 14,298.0,3.38,Japan,45.1
Energy Drink E 15,138.7,6.43,Canada,40.1
Energy Drink D 92,57.7,3.87,South Korea,40.4
Energy Drink N 17,268.4,4.83,Japan,38.1
Energy Drink Q 31,276.0,2.8,Japan,6.4
Energy Drink T 89,50.9,2.12,France,33.4
Energy Drink R 25,109.1,9.21,UK,2.0
Energy Drink D 22,84.4,8.44,Japan,47.3
Energy Drink R 69,169.6,1.12,South Korea,3.1
Energy Drink B 87,296.3,4.3,UK,36.9
Energy Drink W 37,275.8,1.2,Japan,35.2
Energy Drink P 19,146.6,7.03,Canada,22.5
Energy Drink Z 47,232.0,5.32,Japan,33.6
Energy Drink C 98,149.7,3.64,France,34.8
Energy Drink O 36,217.2,6.54,UK,3.2
Energy Drink F 55,160.4,5.38,Germany,23.5
Energy Drink Y 57,197.4,7.94,USA,36.9
Energy Drink R 95,179.8,4.82,South Korea,0.7
Energy Drink A 85,182.3,4.6,South Korea,41.9
Energy Drink V 71,59.1,9.22,South Korea,13.8
Energy Drink W 79,298.0,7.56,France,11.3
Energy Drink W 8,158.4,3.57,Japan,19.1
Energy Drink B 96,181.8,1.62,Canada,45.5
Energy Drink N 79,210.7,9.05,Japan,5.5
Energy Drink I 98,238.7,3.7,France,36.3
Energy Drink D 65,168.7,5.54,South Korea,3.6
Energy Drink S 22,224.3,7.63,USA,48.5
Energy Drink M 57,107.9,5.08,Canada,0.3
Energy Drink K 54,183.8,3.33,Germany,25.1
Energy Drink C 87,275.9,3.84,Canada,19.5
Energy Drink Q 53,273.1,6.87,USA,2.3
Energy Drink T 47,274.5,3.68,Japan,7.8
Energy Drink M 5,97.5,4.03,UK,42.1
Energy Drink Z 91,69.1,2.16,Germany,40.8
Energy Drink J 62,241.2,3.32,Germany,24.9
Energy Drink I 12,239.0,7.24,France,7.9
Energy Drink F 65,251.1,3.49,Germany,36.7
Energy Drink S 43,115.5,6.79,France,31.0
Energy Drink O 96,56.9,4.51,Canada,42.7
Energy Drink X 7,191.6,7.4,Canada,39.4
Energy Drink X 34,126.0,7.69,South Korea,15.9
Energy Drink B 96,92.8,2.71,UK,47.7
Energy Drink I 95,102.2,6.27,Japan,41.6
Energy Drink D 89,58.6,3.23,USA,1.3
Energy Drink L 54,61.3,5.94,USA,23.6
Energy Drink D 76,249.4,4.24,Germany,30.8
Energy Drink K 5,140.5,6.54,Japan,24.8
Energy Drink G 90,117.3,2.01,Canada,12.7
Energy Drink V 63,85.3,6.31,USA,38.7
Energy Drink H 37,219.6,3.68,Japan,3.9
Energy Drink H 100,147.5,4.97,USA,35.7
Energy Drink B 17,273.3,7.37,UK,3.2
Energy Drink D 71,207.9,1.78,Japan,19.9
Energy Drink P 55,222.3,6.32,UK,14.5
Energy Drink P 77,81.1,3.51,USA,42.9
Energy Drink E 51,234.1,3.26,France,44.0
Energy Drink Y 33,72.0,7.4,South Korea,49.4
Energy Drink C 69,64.6,6.25,France,9.7
Energy Drink O 15,203.7,1.66,Japan,24.6
Energy Drink E 72,56.0,8.47,USA,38.5
Energy Drink X 64,136.3,9.39,South Korea,46.6
Energy Drink I 51,265.3,9.21,USA,15.6
Energy Drink E 60,54.9,8.38,USA,11.7
Energy Drink W 33,136.4,1.07,Japan,37.3
Energy Drink X 4,228.0,2.18,UK,0.3
Energy Drink L 83,82.4,9.67,Japan,45.5
Energy Drink O 44,112.1,6.77,USA,17.3
Energy Drink N 48,136.7,1.97,USA,8.4
Energy Drink T 14,277.8,1.14,Germany,33.0
Energy Drink A 37,51.7,4.72,UK,1.0
Energy Drink I 84,73.9,3.72,France,13.3
Energy Drink D 58,211.4,5.9,USA,1.5
Energy Drink A 20,257.0,4.92,USA,38.6
Energy Drink Q 27,70.1,9.41,France,10.6
Energy Drink U 15,187.8,4.32,USA,3.4
Energy Drink F 30,181.8,4.9,Canada,11.1
Energy Drink L 82,120.8,2.93,South Korea,4.0
Energy Drink Q 81,85.5,8.69,South Korea,15.9
Energy Drink E 11,60.7,5.49,UK,26.8
Energy Drink P 17,100.4,2.05,Canada,49.3
Energy Drink O 90,289.9,4.92,Japan,15.7
Energy Drink G 12,107.3,6.84,South Korea,25.9
Energy Drink E 21,261.0,3.72,Canada,43.7
Energy Drink U 93,227.2,9.76,France,23.6
Energy Drink O 34,180.5,2.77,Canada,42.3
Energy Drink F 49,122.2,8.36,Canada,24.6
Energy Drink W 9,184.0,5.3,Canada,45.3
Energy Drink Y 95,165.2,7.64,France,43.6
Energy Drink H 5,72.8,8.92,USA,9.2
Energy Drink S 13,86.5,5.36,France,0.3
Energy Drink Q 92,224.7,8.46,France,14.0
Energy Drink P 70,190.9,2.12,Japan,6.1
Energy Drink B 92,272.2,6.21,USA,22.2
Energy Drink Q 76,165.5,8.33,UK,28.2
Energy Drink S 40,58.3,6.45,Japan,26.1
Energy Drink G 3,161.0,1.72,Japan,44.9
Energy Drink M 34,177.9,3.86,Japan,45.1
Energy Drink U 78,209.4,5.07,USA,16.5
Energy Drink D 29,53.3,8.64,South Korea,41.8
Energy Drink F 94,133.5,9.2,South Korea,44.3
Energy Drink K 94,255.3,5.13,France,0.5
Energy Drink Z 86,164.8,3.64,Germany,12.8
Energy Drink U 89,95.4,3.81,Canada,36.2
Energy Drink S 48,116.8,1.18,USA,13.4
Energy Drink K 82,58.7,3.26,Germany,48.6
Energy Drink W 94,144.7,6.7,USA,19.9
Energy Drink E 89,196.1,9.21,South Korea,14.8
Energy Drink Z 12,185.2,2.88,Germany,44.9
Energy Drink U 17,187.7,3.67,Germany,25.2
Energy Drink R 65,245.9,6.51,France,37.4
Energy Drink I 73,108.3,5.82,Japan,28.4
Energy Drink B 19,80.6,4.68,France,48.1
Energy Drink S 96,91.4,5.05,South Korea,18.3
Energy Drink T 63,187.6,7.75,Japan,21.6
Energy Drink Q 78,119.1,6.96,Canada,49.1
Energy Drink G 96,146.8,6.75,Japan,36.8
Energy Drink K 45,254.1,4.54,UK,40.8
Energy Drink T 54,251.6,3.37,Germany,4.7
Energy Drink G 86,180.7,7.11,Germany,40.9
Energy Drink Y 82,295.0,8.57,South Korea,11.5
Energy Drink V 96,100.4,7.79,Germany,11.1
Energy Drink K 8,242.4,1.62,Germany,3.8
Energy Drink E 12,179.5,6.84,Germany,31.1
Energy Drink Z 36,139.9,8.63,Japan,37.2
Energy Drink Z 5,158.8,4.09,USA,30.1
Energy Drink I 65,284.2,8.88,Japan,25.9
Energy Drink N 17,168.7,5.4,USA,32.8
Energy Drink E 90,259.3,7.46,France,28.0
Energy Drink E 33,52.1,9.95,USA,22.5
Energy Drink F 17,231.7,5.34,Japan,11.7
Energy Drink B 27,214.7,2.17,France,25.2
Energy Drink W 31,286.6,4.45,Canada,5.2
Energy Drink U 13,80.8,2.35,South Korea,40.0
Energy Drink D 18,117.5,3.36,UK,9.7
Energy Drink I 56,232.2,2.41,Canada,25.3
Energy Drink L 18,55.4,6.92,France,11.7
Energy Drink D 21,208.3,1.51,UK,34.2
Energy Drink J 51,110.0,7.2,UK,33.4
Energy Drink R 10,121.7,3.23,Germany,41.1
Energy Drink X 53,144.5,9.67,USA,26.6
Energy Drink G 63,156.1,1.18,USA,12.9
Energy Drink S 57,206.5,4.33,France,40.7
Energy Drink L 77,181.6,3.07,Germany,43.5
Energy Drink Y 3,69.0,3.27,France,25.7
Energy Drink E 52,224.0,9.73,France,28.0
Energy Drink P 68,50.7,1.01,Germany,42.6
Energy Drink L 28,182.2,6.34,UK,35.0
Energy Drink J 44,166.1,3.2,Japan,42.4
Energy Drink H 97,251.1,9.7,Canada,47.7
Energy Drink T 50,124.8,5.23,USA,10.6
Energy Drink Q 43,82.1,6.29,USA,47.7
Energy Drink H 49,138.7,8.42,UK,19.7
Energy Drink G 40,78.3,7.49,Germany,10.7
Energy Drink A 33,198.7,9.81,Germany,38.3
Energy Drink G 75,184.4,9.72,Canada,44.3
Energy Drink P 34,202.8,6.43,Canada,1.2
Energy Drink H 61,112.1,2.46,Canada,2.7
Energy Drink Z 58,225.6,2.03,South Korea,16.7
Energy Drink Y 77,157.0,9.33,France,8.6
Energy Drink V 66,185.3,5.95,South Korea,21.5
Energy Drink A 47,212.9,3.5,France,16.7
Energy Drink P 54,98.3,5.75,Canada,36.2
Energy Drink L 45,111.3,2.89,Germany,2.4
Energy Drink L 17,225.7,4.25,USA,5.2
Energy Drink Q 13,218.7,7.64,USA,2.0
Energy Drink B 30,211.9,7.04,USA,36.3
Energy Drink W 65,227.8,2.47,Canada,39.0
Energy Drink C 68,120.4,9.04,Germany,46.3
Energy Drink Z 80,136.5,5.65,Japan,17.3
Energy Drink S 95,203.7,4.98,Germany,16.4
Energy Drink V 30,285.4,7.06,Japan,23.6
Energy Drink I 2,291.1,2.4,UK,36.0
Energy Drink T 69,171.5,4.42,France,32.1
Energy Drink W 23,288.3,6.21,Japan,40.3
Energy Drink J 78,135.2,9.13,Germany,5.9
Energy Drink H 39,175.2,8.43,South Korea,2.5
Energy Drink K 67,196.1,2.31,Germany,13.9
Energy Drink K 96,150.7,2.86,France,40.5
Energy Drink V 53,278.0,2.25,Japan,22.7
Energy Drink L 27,187.0,2.24,USA,44.6
Energy Drink K 16,189.5,9.9,UK,8.8
Energy Drink Q 66,236.5,7.55,Canada,30.7
Energy Drink A 97,159.8,4.56,USA,44.8
Energy Drink J 23,261.6,9.38,UK,0.6
Energy Drink E 65,74.1,6.35,France,36.4
Energy Drink W 66,155.4,2.37,South Korea,35.5
Energy Drink C 97,240.4,8.25,South Korea,30.9
Energy Drink P 30,272.4,6.22,Canada,48.3
Energy Drink K 76,187.8,6.78,Japan,17.6
Energy Drink S 15,173.1,5.9,Germany,42.3
Energy Drink G 4,238.9,9.22,Japan,18.2
Energy Drink T 15,239.3,5.86,France,16.1
Energy Drink J 96,77.3,7.8,Germany,10.4
Energy Drink E 39,60.9,1.61,Japan,5.7
Energy Drink D 70,104.9,4.73,Canada,8.1
Energy Drink W 24,209.9,7.96,USA,19.5
Energy Drink L 17,78.3,3.44,Japan,1.9
Energy Drink P 33,110.3,3.55,Canada,39.5
Energy Drink N 96,59.5,5.02,Canada,34.8
Energy Drink R 78,149.1,1.31,Japan,29.1
Energy Drink K 3,263.2,9.24,Japan,21.0
Energy Drink H 76,270.3,7.88,South Korea,47.7
Energy Drink Q 6,266.8,5.41,USA,5.0
Energy Drink X 1,266.3,2.81,Germany,30.7
Energy Drink D 47,198.3,2.05,South Korea,33.4
Energy Drink U 11,238.6,3.35,France,15.2
Energy Drink K 55,281.7,1.04,UK,40.0
Energy Drink Z 11,214.2,6.37,UK,28.9
Energy Drink N 4,255.3,4.62,USA,18.0
Energy Drink R 24,269.4,6.43,Germany,38.0
Energy Drink Y 2,150.2,1.75,Germany,20.2
Energy Drink O 19,189.6,2.34,Japan,46.7
Energy Drink Q 77,171.4,10.0,Japan,41.3
Energy Drink K 57,126.7,3.78,UK,12.9
Energy Drink J 95,242.5,9.29,Canada,39.0
Energy Drink D 35,187.0,9.44,Canada,1.0
Energy Drink D 2,275.7,5.54,France,36.3
Energy Drink K 30,68.8,8.78,Japan,49.1
Energy Drink L 1,174.6,1.22,Japan,4.9
Energy Drink E 56,141.6,1.21,UK,9.1
Energy Drink F 3,175.7,5.05,South Korea,23.6
Energy Drink D 38,140.9,7.91,Canada,12.9
Energy Drink I 47,126.2,5.02,Germany,48.5
Energy Drink H 12,270.7,4.09,South Korea,44.3
Energy Drink D 97,140.5,3.49,Canada,13.6
Energy Drink X 87,183.5,7.74,USA,32.5
Energy Drink L 99,122.0,7.09,Japan,4.2
Energy Drink A 56,129.7,5.53,Canada,25.3
Energy Drink Y 46,295.5,3.53,South Korea,24.0
Energy Drink A 52,66.1,9.66,UK,17.0
Energy Drink X 68,242.3,3.53,Germany,19.7
Energy Drink K 95,83.9,5.43,France,28.0
Energy Drink I 84,56.3,8.99,Canada,35.0
Energy Drink Y 15,204.9,8.95,USA,21.5
Energy Drink A 45,149.5,9.78,Canada,45.1
Energy Drink D 21,134.2,3.14,France,36.5
Energy Drink V 80,136.9,7.41,France,30.2
Energy Drink B 71,223.5,2.5,South Korea,32.5
Energy Drink V 38,153.3,2.4,France,46.9
Energy Drink L 59,189.6,1.36,UK,21.3
Energy Drink H 25,54.4,1.04,South Korea,37.2
Energy Drink I 15,203.0,4.65,South Korea,11.4
Energy Drink X 59,148.1,9.73,France,23.6
Energy Drink N 20,172.4,4.99,UK,2.3
Energy Drink T 67,166.3,2.83,USA,35.5
Energy Drink M 2,221.1,9.69,France,48.5
Energy Drink F 28,143.6,5.19,Germany,39.2
Energy Drink L 92,285.2,5.11,Germany,46.7
Energy Drink J 89,189.8,8.01,USA,8.0
Energy Drink M 60,52.3,9.76,UK,8.4
Energy Drink R 22,170.3,9.51,South Korea,14.1
Energy Drink L 26,235.1,4.05,South Korea,42.6
Energy Drink S 95,94.5,1.18,South Korea,26.3
Energy Drink Q 83,52.7,2.55,Japan,17.8
Energy Drink N 15,118.4,5.53,France,2.8
Energy Drink V 65,279.4,7.17,France,15.4
Energy Drink S 36,130.2,5.37,Japan,17.2
Energy Drink E 8,150.5,1.16,South Korea,27.1
Energy Drink Y 39,92.5,6.62,UK,45.9
Energy Drink J 7,189.1,3.56,Japan,38.1
Energy Drink A 90,209.0,9.7,UK,16.0
Energy Drink X 97,157.8,8.0,Japan,2.6
Energy Drink B 27,94.7,4.72,Japan,48.3
Energy Drink P 18,163.9,8.39,USA,5.1
Energy Drink R 52,177.9,2.39,South Korea,38.3
Energy Drink I 32,284.4,1.15,USA,46.8
Energy Drink R 85,246.8,7.02,UK,45.7
Energy Drink A 18,298.7,6.3,Germany,25.9
Energy Drink P 96,114.1,4.95,Canada,6.8
Energy Drink N 59,265.0,2.92,France,37.1
Energy Drink J 95,132.7,4.75,South Korea,40.3
Energy Drink U 22,217.1,5.9,South Korea,24.3
Energy Drink L 55,278.9,4.99,France,20.9
Energy Drink I 98,268.7,3.11,Germany,20.2
Energy Drink G 99,131.6,7.14,UK,37.6
Energy Drink K 91,216.6,9.89,USA,6.0
Energy Drink R 59,52.3,8.89,Japan,30.8
Energy Drink O 93,210.7,2.59,USA,40.1
Energy Drink Z 58,163.0,7.9,Japan,29.3
Energy Drink G 35,285.8,6.21,Japan,2.1
Energy Drink K 92,243.3,6.62,Japan,39.6
Energy Drink J 89,72.6,5.12,France,29.9
Energy Drink F 57,124.3,8.34,Canada,15.4
Energy Drink F 22,60.5,6.16,Japan,0.9
Energy Drink E 43,254.4,3.78,France,27.0
Energy Drink B 89,159.8,8.49,USA,3.9
Energy Drink P 56,223.9,6.52,USA,16.1
Energy Drink W 12,265.5,1.22,UK,1.6
Energy Drink V 77,163.5,3.96,South Korea,40.0
Energy Drink Z 94,146.4,6.89,Germany,19.4
Energy Drink D 81,140.1,1.37,Japan,6.2
Energy Drink A 89,145.4,9.24,South Korea,7.8
Energy Drink L 88,257.6,8.07,Germany,10.5
Energy Drink E 52,146.4,1.54,USA,1.4
Energy Drink U 37,97.3,6.11,USA,42.4
Energy Drink U 64,164.8,1.34,Germany,6.0
Energy Drink A 87,273.0,7.03,Germany,32.2
Energy Drink Y 58,77.2,6.89,USA,7.2
Energy Drink B 49,169.3,6.87,Canada,28.7
Energy Drink A 18,200.7,2.65,USA,39.4
Energy Drink V 81,281.3,7.06,Japan,38.6
Energy Drink L 52,241.5,7.14,South Korea,21.3
Energy Drink C 34,50.1,3.19,Japan,21.5
Energy Drink Q 46,225.7,5.0,Germany,40.9
Energy Drink S 8,249.8,7.34,Germany,16.9
Energy Drink I 54,87.0,2.59,Japan,26.0
Energy Drink T 25,129.9,1.98,South Korea,15.7
Energy Drink L 63,68.9,7.0,Canada,7.5
Energy Drink M 45,86.7,7.69,South Korea,34.8
Energy Drink E 35,100.2,9.78,Germany,11.3
Energy Drink N 15,281.9,2.05,Germany,11.0
Energy Drink E 24,124.3,9.18,UK,5.3
Energy Drink B 15,260.1,6.12,Germany,0.7
Energy Drink C 61,182.3,3.01,Japan,49.8
Energy Drink C 70,78.4,4.54,USA,34.0
Energy Drink V 86,60.5,8.64,South Korea,17.9
Energy Drink Z 53,152.2,5.28,USA,28.5
Energy Drink Z 4,165.5,8.34,Germany,46.4
Energy Drink S 62,223.5,7.93,Canada,1.2
Energy Drink A 62,294.9,9.67,France,40.5
Energy Drink L 75,282.1,6.01,UK,40.6
Energy Drink M 12,240.1,3.89,France,19.3
Energy Drink K 25,200.5,6.36,South Korea,24.1
Energy Drink P 67,275.2,2.89,South Korea,16.2
Energy Drink M 31,115.6,4.39,Germany,5.4
Energy Drink B 77,225.0,8.14,France,8.1
Energy Drink C 43,292.2,9.34,Canada,3.0
Energy Drink M 55,250.1,7.97,France,31.8
Energy Drink W 5,264.9,9.78,UK,43.3
Energy Drink J 77,285.9,6.43,USA,34.0
Energy Drink P 19,237.6,9.62,UK,30.2
Energy Drink L 8,163.6,5.0,UK,42.2
Energy Drink C 3,214.8,9.94,France,43.8
Energy Drink C 18,279.7,3.18,UK,40.6
Energy Drink Q 94,119.3,8.08,Canada,17.7
Energy Drink U 25,234.3,1.39,Canada,29.2
Energy Drink B 77,162.0,8.89,USA,44.5
Energy Drink O 100,127.9,6.86,UK,36.3
Energy Drink D 17,247.1,3.8,USA,48.3
Energy Drink U 2,218.7,8.35,Germany,44.7
Energy Drink M 90,236.2,8.45,France,18.1
Energy Drink M 37,200.0,3.07,Germany,2.8
Energy Drink J 41,158.2,7.59,France,27.5
Energy Drink S 79,98.2,6.68,USA,42.5
Energy Drink M 71,125.9,5.43,Japan,45.7
Energy Drink E 80,204.8,8.58,South Korea,21.0
Energy Drink U 49,100.8,5.99,Japan,48.9
Energy Drink J 33,171.9,9.69,South Korea,4.7
Energy Drink R 64,118.9,2.34,South Korea,9.6
Energy Drink R 40,270.7,6.71,South Korea,7.2
Energy Drink M 11,267.7,3.33,Canada,28.6
Energy Drink Z 8,77.0,7.75,Canada,27.4
Energy Drink U 99,58.3,5.51,UK,48.3
Energy Drink P 30,259.4,8.77,USA,25.0
Energy Drink Z 26,55.5,3.84,South Korea,24.5
Energy Drink N 20,295.8,7.19,Germany,37.0
Energy Drink K 87,218.4,6.25,Germany,31.6
Energy Drink H 21,143.5,5.26,UK,27.4
Energy Drink S 75,196.6,7.11,USA,35.6
Energy Drink S 76,90.9,4.24,Canada,8.1
