Product_Name,Caffeine_Content_mg,Price_USD,Country,Sugar_Content_g,product_id
Energy Drink M 58,218.0,8.35,UK,2.7,1932
Energy Drink Z 65,70.6,1.86,UK,21.6,3492
Energy Drink K 65,176.2,7.63,Germany,26.8,1183
Energy Drink Q 35,51.7,7.54,UK,27.4,1228
Energy Drink M 9,196.7,3.56,Germany,17.8,3354
Energy Drink G 91,245.0,6.37,Japan,37.4,1251
Energy Drink X 57,221.9,9.13,UK,35.9,3406
Energy Drink D 90,266.3,2.21,Canada,6.4,3052
Energy Drink B 86,177.8,7.04,Japan,30.5,1728
Energy Drink C 54,163.4,7.15,USA,10.0,980
Energy Drink T 71,112.8,2.5,Germany,39.6,3225
Energy Drink E 11,263.8,9.16,UK,29.9,3617
Energy Drink B 50,245.8,7.86,USA,16.6,2384
Energy Drink W 15,267.4,9.42,UK,19.6,1804
Energy Drink X 91,174.0,6.06,Canada,18.6,3356
Energy Drink I 52,271.9,2.21,UK,43.3,2494
Energy Drink X 81,133.5,2.52,South Korea,43.2,705
Energy Drink A 73,258.8,5.88,Japan,27.4,2456
Energy Drink A 65,95.5,9.31,Germany,36.3,2646
Energy Drink M 8,83.0,2.42,Germany,7.9,82
Energy Drink U 19,202.8,8.53,Canada,5.4,1501
Energy Drink L 7,72.7,6.99,Japan,9.6,299
Energy Drink M 24,152.3,4.63,Germany,29.9,2028
Energy Drink N 67,231.6,6.66,USA,0.2,182
Energy Drink H 78,100.6,5.75,Japan,16.7,2345
Energy Drink B 92,281.2,2.67,South Korea,45.2,2221
Energy Drink C 91,271.0,4.44,France,2.4,3856
Energy Drink H 64,83.8,5.54,Canada,28.7,2803
Energy Drink J 67,71.9,7.24,UK,35.5,2523
Energy Drink R 31,257.9,9.45,South Korea,2.9,917
Energy Drink R 37,281.6,8.13,UK,2.5,3344
Energy Drink H 79,218.1,5.93,Japan,6.6,2049
Energy Drink Y 9,296.9,8.51,South Korea,20.5,3239
Energy Drink H 57,270.0,7.08,South Korea,33.3,1203
Energy Drink P 69,291.4,1.1,South Korea,3.8,349
Energy Drink D 55,202.6,5.49,France,14.4,2595
Energy Drink J 53,113.9,4.43,Japan,8.1,2928
Energy Drink G 20,132.4,9.87,France,2.4,691
Energy Drink P 90,228.2,6.05,France,23.5,1444
Energy Drink P 7,288.7,9.86,UK,5.7,2960
Energy Drink Y 43,100.4,4.63,UK,34.6,2450
Energy Drink Y 21,241.4,5.85,UK,26.5,3273
Energy Drink E 53,273.6,7.35,USA,27.7,3357
Energy Drink R 11,236.9,7.6,France,16.0,2425
Energy Drink I 70,223.2,9.36,France,14.1,739
Energy Drink W 87,160.0,7.96,France,49.4,2953
Energy Drink M 9,145.9,7.4,Japan,11.7,1409
Energy Drink I 19,158.5,7.56,South Korea,39.2,1693
Energy Drink Z 18,200.6,5.37,France,5.8,608
Energy Drink V 63,172.8,3.19,South Korea,13.9,1584
Energy Drink M 50,52.2,2.81,Canada,10.7,3681
Energy Drink I 38,215.0,7.91,Germany,26.1,574
Energy Drink B 23,128.8,6.67,Canada,34.9,3113
Energy Drink E 9,184.0,6.95,Germany,17.8,1230
Energy Drink X 92,101.3,9.77,Canada,3.1,3047
Energy Drink L 65,88.7,4.55,Germany,21.5,335
Energy Drink M 50,219.9,8.71,USA,13.2,645
Energy Drink Z 40,167.3,3.79,Canada,6.8,3716
Energy Drink T 36,189.7,5.26,South Korea,30.5,708
Energy Drink D 22,244.0,6.24,Germany,41.6,3303
Energy Drink G 72,241.8,7.07,UK,21.5,916
Energy Drink P 9,74.2,5.6,Germany,26.9,2652
Energy Drink V 99,65.7,2.49,UK,1.8,2718
Energy Drink S 92,54.1,8.82,UK,14.3,1219
Energy Drink T 58,272.9,6.41,South Korea,43.4,111
Energy Drink A 54,255.9,7.31,Japan,24.2,21
Energy Drink N 79,91.6,6.04,South Korea,16.6,1606
Energy Drink C 75,252.4,1.76,USA,3.2,353
Energy Drink E 45,76.8,2.49,UK,32.4,1394
Energy Drink V 76,59.9,7.78,Japan,45.7,2779
Energy Drink M 16,187.2,1.76,Japan,28.8,3776
Energy Drink K 99,297.3,5.5,UK,43.8,1528
Energy Drink L 14,239.1,9.67,South Korea,44.1,3829
Energy Drink T 41,264.9,1.43,France,18.0,763
Energy Drink K 7,178.5,8.1,USA,1.2,3576
Energy Drink D 59,272.8,4.11,France,17.1,2714
Energy Drink I 34,287.9,6.84,UK,45.2,891
Energy Drink G 79,74.0,1.17,USA,44.2,3001
Energy Drink K 61,247.1,9.4,France,45.1,3808
Energy Drink N 35,170.5,5.48,Germany,49.9,7
Energy Drink V 65,88.8,4.04,Japan,23.7,2970
Energy Drink J 69,212.8,8.18,France,39.6,3998
Energy Drink Z 7,149.4,3.23,USA,15.6,1053
Energy Drink Z 64,81.9,6.5,UK,32.4,901
Energy Drink O 20,68.0,4.6,UK,20.2,45
Energy Drink V 6,103.3,6.93,USA,42.5,2533
Energy Drink K 50,109.3,1.98,Japan,26.7,3055
Energy Drink L 90,229.0,8.41,Germany,49.2,887
Energy Drink W 69,255.5,4.91,South Korea,45.5,3105
Energy Drink L 24,86.3,9.29,USA,8.9,797
Energy Drink R 8,211.4,4.19,Japan,45.3,3496
Energy Drink E 85,197.7,5.42,Japan,7.7,3216
Energy Drink S 28,268.7,7.64,USA,12.9,2895
Energy Drink W 6,150.0,5.07,Germany,26.4,2261
Energy Drink Q 98,52.4,4.3,Canada,24.0,2584
Energy Drink Z 98,298.0,5.18,France,37.4,504
Energy Drink A 97,255.6,6.87,France,13.1,791
Energy Drink A 99,183.8,8.21,Germany,49.4,3338
Energy Drink C 3,223.1,7.14,USA,17.9,3121
Energy Drink Z 3,157.9,5.82,France,43.6,1186
Energy Drink A 31,172.4,5.24,France,5.0,1206
Energy Drink G 61,293.0,7.95,Canada,20.1,2861
Energy Drink P 48,68.0,1.53,Japan,6.4,1013
Energy Drink Y 85,54.7,2.72,Germany,8.0,1720
Energy Drink C 50,294.3,9.36,Japan,13.3,3288
Energy Drink C 58,152.5,8.85,France,22.9,3727
Energy Drink Q 56,229.7,2.78,France,18.4,457
Energy Drink R 90,283.2,7.75,Japan,16.1,1614
Energy Drink K 49,282.4,3.61,Germany,34.8,2350
Energy Drink V 39,153.5,6.29,UK,16.1,3074
Energy Drink D 40,261.4,9.27,UK,28.6,3233
Energy Drink V 6,194.9,8.55,UK,8.4,715
Energy Drink K 83,113.6,5.58,France,27.1,1826
Energy Drink O 60,141.7,1.93,Japan,48.9,3376
Energy Drink Y 97,240.5,7.72,Canada,14.8,1432
Energy Drink I 61,148.6,6.79,France,41.7,896
Energy Drink B 56,237.9,5.72,USA,31.0,2424
Energy Drink J 79,134.2,4.83,Canada,49.8,347
Energy Drink X 6,187.3,2.47,USA,8.0,1084
Energy Drink D 50,281.8,8.86,UK,2.6,2394
Energy Drink Z 25,272.4,6.26,UK,13.3,2269
Energy Drink S 85,283.5,2.64,Japan,4.3,1273
Energy Drink C 84,114.7,7.62,France,15.7,3712
Energy Drink U 88,195.0,7.89,USA,43.3,3771
Energy Drink A 31,160.5,1.63,UK,4.3,3972
Energy Drink V 26,165.0,1.56,France,12.2,2271
Energy Drink O 9,115.4,1.08,South Korea,45.1,3262
Energy Drink M 13,134.3,8.49,Germany,0.7,1790
Energy Drink R 90,237.0,2.06,South Korea,14.1,454
Energy Drink T 26,170.8,1.47,France,23.3,2834
Energy Drink Z 85,183.0,5.86,Canada,25.1,3820
Energy Drink K 2,233.5,6.62,Canada,10.0,196
Energy Drink Q 34,179.2,2.19,Germany,10.4,502
Energy Drink B 66,181.3,9.63,Germany,8.1,1298
Energy Drink C 54,139.9,8.83,UK,15.4,2663
Energy Drink D 23,136.1,9.1,Japan,30.6,2275
Energy Drink O 43,140.5,2.28,USA,41.5,3761
Energy Drink Z 67,78.8,5.1,Canada,30.0,1108
Energy Drink L 59,117.5,5.18,UK,39.0,654
Energy Drink A 45,267.3,2.73,Germany,30.3,627
Energy Drink X 9,105.4,2.11,Canada,45.7,2292
Energy Drink V 8,84.4,2.1,France,9.1,596
Energy Drink K 91,174.4,4.02,France,47.4,3900
Energy Drink A 43,139.8,3.53,Japan,2.9,3383
Energy Drink C 11,148.0,3.82,Germany,40.9,3426
Energy Drink A 69,72.2,7.97,Canada,20.2,801
Energy Drink I 97,215.3,5.97,Germany,25.3,3012
Energy Drink Y 13,88.5,2.89,France,20.6,3300
Energy Drink A 57,244.3,3.87,France,17.7,2917
Energy Drink Y 1,96.8,8.3,UK,42.0,944
Energy Drink B 26,179.8,1.24,Japan,31.9,3823
Energy Drink B 66,119.8,1.02,Japan,22.1,495
Energy Drink E 96,115.5,1.17,USA,1.5,1881
Energy Drink M 16,241.2,3.59,France,29.8,2907
Energy Drink M 30,136.8,3.27,South Korea,40.7,3223
Energy Drink Y 79,157.3,1.38,UK,29.2,3653
Energy Drink F 36,160.4,5.27,Canada,46.8,1586
Energy Drink D 58,298.2,7.92,France,8.5,2278
Energy Drink O 50,171.8,1.4,UK,8.0,3955
Energy Drink G 74,208.9,8.38,UK,23.4,405
Energy Drink Z 39,194.0,2.78,USA,40.8,2964
Energy Drink G 76,51.7,5.08,Canada,31.0,2139
Energy Drink G 30,255.4,7.26,Japan,45.1,1765
Energy Drink S 16,139.0,1.52,USA,36.4,3904
Energy Drink X 30,160.6,9.32,USA,42.3,236
Energy Drink C 15,201.9,3.63,UK,6.7,1090
Energy Drink R 34,52.5,2.78,France,39.6,3594
Energy Drink N 49,224.7,5.72,Japan,3.4,979
Energy Drink C 27,281.0,8.49,Germany,19.3,620
Energy Drink C 63,183.3,4.49,UK,37.1,333
Energy Drink D 39,116.5,4.77,Germany,12.2,2852
Energy Drink X 18,195.5,4.93,Japan,18.1,240
Energy Drink M 3,101.5,2.14,UK,11.9,821
Energy Drink S 26,79.1,9.82,Germany,47.2,3814
Energy Drink M 21,89.6,3.28,France,3.6,3527
Energy Drink M 75,180.7,1.85,South Korea,21.6,2504
Energy Drink L 37,155.8,5.08,Japan,8.3,2660
Energy Drink E 98,212.0,7.05,UK,38.8,1988
Energy Drink Q 65,140.9,9.74,USA,31.5,343
Energy Drink I 67,224.4,4.81,USA,18.9,1630
Energy Drink Y 4,279.7,7.5,South Korea,14.1,118
Energy Drink B 38,297.9,9.48,South Korea,1.5,3541
Energy Drink F 33,87.7,6.9,Germany,15.9,3290
Energy Drink I 75,56.2,2.92,Japan,33.6,1488
Energy Drink X 35,228.5,6.46,USA,41.4,2983
Energy Drink K 98,86.3,1.19,Germany,12.4,1546
Energy Drink F 100,195.1,6.52,UK,23.3,1637
Energy Drink N 8,237.8,5.52,South Korea,18.6,3462
Energy Drink E 67,50.1,2.69,Canada,44.8,3559
Energy Drink R 41,290.6,5.84,UK,8.6,327
Energy Drink A 8,81.1,5.28,Japan,46.4,3506
Energy Drink Y 78,288.9,9.43,Japan,24.8,230
Energy Drink K 20,175.5,4.34,Japan,44.7,1611
Energy Drink W 64,51.4,5.71,Germany,49.4,268
Energy Drink B 18,182.3,5.05,South Korea,0.1,2911
Energy Drink B 76,59.2,6.3,France,45.5,2398
Energy Drink Q 26,217.9,5.46,South Korea,24.1,569
Energy Drink E 25,131.6,2.06,Canada,34.7,1367
Energy Drink W 76,139.6,1.13,Canada,40.3,3615
Energy Drink S 91,217.1,1.82,USA,35.6,2460
Energy Drink V 12,142.9,3.91,USA,27.2,3583
Energy Drink M 26,116.3,1.68,Japan,22.8,2783
Energy Drink R 33,183.1,9.9,UK,19.4,1698
Energy Drink N 87,170.2,3.05,Canada,43.3,95
Energy Drink E 10,251.2,8.62,Japan,22.3,1523
Energy Drink H 69,211.3,5.59,Canada,38.0,2826
Energy Drink G 19,125.2,7.17,Japan,23.0,3684
Energy Drink F 95,82.3,7.0,Canada,15.2,2792
Energy Drink Z 46,233.0,8.02,France,10.9,2361
Energy Drink K 77,179.3,6.49,UK,19.0,600
Energy Drink B 56,259.9,8.64,Japan,40.6,3295
Energy Drink N 60,265.8,5.08,Canada,28.4,2519
Energy Drink X 9,288.7,5.85,South Korea,33.5,3919
Energy Drink E 78,179.7,2.41,South Korea,26.9,1167
Energy Drink V 72,81.4,6.96,Germany,22.7,1478
Energy Drink U 53,275.8,1.6,France,48.6,1639
Energy Drink G 10,259.8,1.77,UK,26.6,2118
Energy Drink K 62,154.4,1.18,France,22.6,1843
Energy Drink G 100,126.7,9.25,USA,17.6,878
Energy Drink S 25,59.3,4.76,Japan,36.8,3855
Energy Drink N 53,157.0,5.14,South Korea,5.5,2130
Energy Drink N 27,276.2,4.95,Germany,44.5,2566
Energy Drink J 91,252.2,1.96,Japan,41.2,2849
Energy Drink P 100,224.9,9.9,France,24.7,1375
Energy Drink L 58,72.7,5.62,USA,15.5,3438
Energy Drink K 72,224.8,2.33,France,26.9,1170
Energy Drink A 91,262.5,9.16,Canada,38.6,2931
Energy Drink U 58,67.3,2.35,South Korea,30.8,3099
Energy Drink H 24,225.0,1.34,Germany,6.0,3747
Energy Drink Q 41,255.8,1.02,South Korea,17.3,2609
Energy Drink F 63,192.6,3.27,USA,6.8,3601
Energy Drink Z 18,212.5,9.42,Germany,35.6,2579
Energy Drink S 89,80.3,2.54,Germany,31.6,217
Energy Drink R 92,81.7,1.73,Canada,29.4,3264
Energy Drink T 60,134.7,9.98,Germany,35.7,1146
Energy Drink J 95,265.8,5.99,South Korea,10.0,3630
Energy Drink E 92,288.8,8.16,Canada,14.7,3991
Energy Drink Q 4,186.3,9.22,South Korea,11.0,3973
Energy Drink Q 27,210.5,3.91,South Korea,29.7,3018
Energy Drink H 71,90.5,5.52,Canada,46.5,3311
Energy Drink B 78,216.5,5.78,South Korea,12.4,3622
Energy Drink D 52,258.4,5.49,Japan,37.7,2752
Energy Drink U 2,210.3,1.83,USA,0.1,3066
Energy Drink F 60,270.0,2.96,UK,33.7,641
Energy Drink E 6,142.0,8.22,Japan,5.2,2262
Energy Drink I 89,122.1,8.26,France,11.2,1608
Energy Drink L 70,125.0,1.43,Germany,7.1,1391
Energy Drink P 86,220.1,4.76,France,47.8,3627
Energy Drink H 25,104.9,4.96,Japan,39.3,2296
Energy Drink X 62,70.6,1.41,Germany,29.4,3504
Energy Drink T 26,236.8,6.94,South Korea,1.3,2097
Energy Drink W 25,278.9,6.24,France,11.9,1575
Energy Drink B 58,207.9,3.35,UK,40.0,505
Energy Drink S 54,220.2,8.42,Japan,11.8,3060
Energy Drink X 34,291.7,9.86,Canada,18.0,3486
Energy Drink G 34,63.2,4.63,UK,33.4,3678
Energy Drink J 27,210.5,4.99,USA,12.5,482
Energy Drink N 81,164.8,8.36,Germany,0.5,3461
Energy Drink H 58,134.4,4.96,Germany,38.9,553
Energy Drink X 54,108.5,2.91,UK,45.4,2108
Energy Drink T 67,120.5,9.78,Canada,22.8,1446
Energy Drink A 6,223.3,7.81,USA,23.1,2847
Energy Drink I 70,227.4,8.88,Canada,5.6,1889
Energy Drink K 25,186.7,1.27,France,20.6,309
Energy Drink T 14,177.9,3.1,Germany,26.6,3728
Energy Drink Q 80,68.7,2.59,South Korea,46.9,432
Energy Drink T 4,101.8,9.76,Canada,44.5,827
Energy Drink E 76,213.2,4.22,UK,30.3,1834
Energy Drink T 15,121.7,3.43,Japan,32.8,44
Energy Drink V 72,116.2,3.8,Japan,12.7,735
Energy Drink F 90,213.8,3.51,France,35.1,2457
Energy Drink Q 93,247.2,5.59,USA,37.7,3065
Energy Drink F 58,141.2,8.63,UK,3.2,3091
Energy Drink D 56,197.6,7.86,South Korea,0.9,3379
Energy Drink A 33,217.6,6.36,UK,43.6,1914
Energy Drink H 85,127.1,3.1,Japan,20.0,74
Energy Drink B 51,189.1,3.28,Canada,42.0,50
Energy Drink W 39,119.0,5.13,UK,24.3,3609
Energy Drink O 64,179.8,4.12,USA,49.7,3134
Energy Drink A 18,156.7,8.38,Germany,27.4,1865
Energy Drink D 51,269.0,9.6,USA,15.3,2715
Energy Drink A 45,50.7,8.42,USA,10.8,994
Energy Drink K 83,62.1,7.67,Canada,38.3,621
Energy Drink N 16,105.0,9.97,South Korea,17.8,3030
Energy Drink B 60,167.9,3.3,Japan,38.4,1491
Energy Drink W 54,254.8,7.31,Germany,10.6,1241
Energy Drink F 4,213.9,3.12,USA,20.3,1833
Energy Drink L 46,159.5,2.28,Canada,47.3,3131
Energy Drink T 17,193.5,4.12,Germany,33.4,97
Energy Drink A 92,167.8,5.37,Canada,22.1,2429
Energy Drink P 2,154.9,4.79,Germany,3.5,973
Energy Drink S 24,181.4,8.83,South Korea,47.2,587
Energy Drink K 43,199.6,9.67,USA,37.7,1726
Energy Drink Z 90,186.0,8.36,Canada,8.7,1328
Energy Drink H 3,121.7,6.02,Canada,39.7,1181
Energy Drink Q 29,266.3,7.55,Germany,31.1,1327
Energy Drink I 60,107.9,7.99,Japan,18.0,1318
Energy Drink L 39,93.5,6.96,Canada,8.9,310
Energy Drink V 55,235.0,6.93,Germany,25.2,2287
Energy Drink E 96,228.7,5.77,France,36.4,1023
Energy Drink B 9,265.8,9.34,UK,5.3,51
Energy Drink S 60,256.3,7.22,UK,49.3,997
Energy Drink F 72,62.7,3.92,France,45.2,725
Energy Drink A 63,220.7,7.91,USA,11.9,3125
Energy Drink S 68,281.1,5.05,France,23.8,3340
Energy Drink N 2,293.3,6.76,Germany,5.0,2422
Energy Drink W 100,250.6,7.12,Canada,25.8,3602
Energy Drink D 77,119.3,7.45,South Korea,26.8,3929
Energy Drink T 41,212.6,5.14,Germany,25.5,1305
Energy Drink M 94,133.5,6.21,Japan,9.3,322
Energy Drink V 83,296.6,1.32,Japan,15.8,3336
Energy Drink X 50,189.9,1.49,UK,5.0,1239
Energy Drink A 35,102.1,1.77,South Korea,4.3,2165
Energy Drink O 33,290.6,5.12,Canada,38.8,2452
Energy Drink O 32,154.7,9.48,France,3.7,1708
Energy Drink I 6,198.0,5.15,Canada,9.3,3377
Energy Drink U 47,130.8,3.53,UK,21.0,355
Energy Drink O 18,198.0,5.25,Germany,30.5,1690
Energy Drink D 31,154.0,1.93,USA,14.1,1303
Energy Drink D 91,143.9,6.83,Germany,16.5,1195
Energy Drink D 75,84.1,7.39,UK,48.3,2610
Energy Drink K 5,53.9,7.38,South Korea,42.8,2869
Energy Drink E 88,136.2,2.7,South Korea,28.2,2279
Energy Drink L 76,86.2,2.61,South Korea,33.5,1184
Energy Drink P 59,231.5,2.41,South Korea,36.5,2483
Energy Drink U 17,255.5,1.08,France,46.8,1933
Energy Drink A 33,138.1,7.45,France,30.1,203
Energy Drink F 33,185.8,3.12,UK,14.1,3237
Energy Drink V 59,134.4,5.1,Germany,38.2,1928
Energy Drink A 13,255.2,5.17,South Korea,18.6,771
Energy Drink E 32,96.1,2.45,Germany,18.2,3978
Energy Drink K 30,171.3,9.1,Germany,12.5,1577
Energy Drink Y 39,240.2,9.96,France,28.1,424
Energy Drink E 58,163.5,6.86,USA,13.4,617
Energy Drink E 90,169.4,5.44,USA,13.5,40
Energy Drink H 26,236.9,9.9,France,26.9,264
Energy Drink P 35,234.1,9.19,Germany,40.8,2536
Energy Drink H 83,116.7,2.21,USA,34.3,1874
Energy Drink B 51,172.2,2.02,UK,36.4,3802
Energy Drink O 12,251.4,3.4,South Korea,4.4,2516
Energy Drink B 58,273.2,1.43,Germany,5.2,1152
Energy Drink X 77,212.6,5.84,France,7.5,726
Energy Drink W 81,226.7,7.1,Japan,20.6,905
Energy Drink F 80,238.8,9.57,Germany,31.7,272
Energy Drink B 83,194.2,1.94,USA,13.8,3071
Energy Drink S 63,99.8,3.23,Canada,48.0,3402
Energy Drink V 36,259.4,9.92,Canada,17.3,2882
Energy Drink E 29,211.9,2.67,UK,44.8,865
Energy Drink S 32,245.9,6.08,Germany,13.3,2001
Energy Drink D 76,214.1,4.17,Japan,5.9,1290
Energy Drink J 38,129.4,2.81,Germany,47.6,908
Energy Drink N 82,172.2,2.89,USA,0.1,3971
Energy Drink S 38,74.6,8.56,South Korea,30.8,3736
Energy Drink D 83,203.6,4.6,Germany,30.3,3616
Energy Drink S 44,173.0,2.38,Japan,17.3,3218
Energy Drink A 15,172.6,9.94,Germany,20.4,935
Energy Drink K 22,189.2,3.57,Japan,5.3,3278
Energy Drink C 39,299.5,7.13,UK,22.8,2637
Energy Drink E 79,77.9,1.38,South Korea,29.0,3313
Energy Drink D 54,99.7,8.37,France,9.9,3331
Energy Drink B 46,148.7,5.56,Germany,12.9,3078
Energy Drink F 49,155.7,5.3,South Korea,36.0,1727
Energy Drink H 93,152.7,8.55,Canada,18.1,1534
Energy Drink L 82,216.4,3.91,France,4.0,1098
Energy Drink O 55,152.1,7.22,UK,3.4,2711
Energy Drink G 72,137.9,3.7,Japan,40.6,1776
Energy Drink H 71,144.4,1.41,France,37.5,3671
Energy Drink T 31,224.7,9.3,USA,27.9,431
Energy Drink F 35,232.7,5.34,Japan,12.5,3607
Energy Drink J 24,245.5,3.45,Germany,5.1,199
Energy Drink W 29,242.4,3.25,USA,18.2,3414
Energy Drink K 81,135.2,3.44,USA,17.3,61
Energy Drink L 64,157.3,3.06,Japan,16.1,2583
Energy Drink Z 24,204.4,1.62,Germany,38.6,1869
Energy Drink P 7,248.9,1.77,Canada,44.1,2939
Energy Drink S 16,62.5,6.94,Germany,0.2,417
Energy Drink C 19,180.8,3.43,South Korea,16.4,3009
Energy Drink J 62,235.4,9.62,Germany,23.3,320
Energy Drink W 83,185.8,2.46,France,24.3,148
Energy Drink X 67,193.9,8.0,Canada,6.9,1742
Energy Drink H 84,206.9,6.22,Germany,26.9,1417
Energy Drink I 36,163.3,1.1,Germany,12.2,2439
Energy Drink F 2,69.9,1.47,Canada,30.1,2324
Energy Drink T 14,235.5,3.53,South Korea,48.7,619
Energy Drink P 29,229.3,8.44,Japan,31.3,1211
Energy Drink M 37,165.4,5.77,France,29.7,1901
Energy Drink C 13,159.4,1.03,Germany,13.4,3093
Energy Drink M 90,266.9,5.07,Canada,29.6,3222
Energy Drink R 81,140.5,3.98,USA,43.3,205
Energy Drink O 83,68.6,5.88,UK,46.1,1094
Energy Drink Y 72,231.5,3.8,Canada,31.9,3330
Energy Drink M 7,108.9,2.38,Canada,11.5,853
Energy Drink V 8,56.6,2.58,Japan,24.2,2391
Energy Drink D 27,158.5,3.11,UK,8.4,3213
Energy Drink V 8,292.0,3.38,Canada,14.7,1388
Energy Drink P 38,295.5,6.89,Japan,23.8,2922
Energy Drink B 15,209.8,3.08,Germany,17.5,3864
Energy Drink Z 21,70.3,9.68,USA,3.8,370
Energy Drink J 91,227.5,9.99,USA,44.5,547
Energy Drink B 84,167.2,1.14,USA,1.3,3463
Energy Drink K 99,188.3,9.76,France,47.9,2487
Energy Drink U 52,161.9,3.49,South Korea,5.2,2094
Energy Drink U 2,188.4,4.26,France,15.2,1001
Energy Drink V 30,121.3,9.73,USA,19.9,898
Energy Drink F 22,193.1,1.8,Germany,41.0,3118
Energy Drink R 90,140.8,2.95,Germany,10.9,759
Energy Drink G 96,182.3,5.29,UK,3.8,1403
Energy Drink W 21,224.8,2.32,UK,13.0,2196
Energy Drink R 53,179.1,6.64,South Korea,23.5,2003
Energy Drink T 70,216.2,8.57,USA,5.4,836
Energy Drink D 26,58.0,3.88,Germany,12.1,1777
Energy Drink S 5,269.2,1.22,Germany,24.3,1960
Energy Drink H 62,102.4,4.88,South Korea,35.0,639
Energy Drink F 12,245.6,4.83,France,8.4,2087
Energy Drink U 57,187.0,1.13,UK,24.8,985
Energy Drink Q 82,149.7,9.61,South Korea,1.4,2831
Energy Drink V 6,260.4,5.22,USA,36.9,2282
Energy Drink P 54,97.2,3.72,USA,4.0,1074
Energy Drink Z 97,190.9,4.25,UK,48.2,2362
Energy Drink I 94,297.9,1.01,USA,31.4,1558
Energy Drink P 47,188.5,3.17,USA,12.7,2924
Energy Drink X 66,237.7,6.53,Canada,35.5,1114
Energy Drink L 76,233.4,8.28,South Korea,8.1,3623
Energy Drink G 28,206.9,8.98,Japan,17.6,1454
Energy Drink Y 84,147.1,2.11,USA,4.4,3363
Energy Drink W 34,177.1,7.81,Japan,17.9,742
Energy Drink I 55,204.6,7.44,France,39.0,2706
Energy Drink U 8,54.9,4.01,USA,42.0,747
Energy Drink C 75,196.9,4.32,South Korea,47.6,2351
Energy Drink O 91,144.0,6.15,USA,33.3,1529
Energy Drink Y 65,184.9,4.65,Canada,7.0,2930
Energy Drink Z 68,277.7,4.03,UK,24.7,635
Energy Drink I 95,287.1,3.93,Canada,48.2,3390
Energy Drink C 63,115.7,8.02,Germany,6.0,1077
Energy Drink E 89,269.1,6.53,USA,28.8,3361
Energy Drink A 64,277.9,6.52,France,8.9,847
Energy Drink D 35,114.2,5.79,Canada,38.4,2578
Energy Drink M 18,297.7,8.98,Germany,28.4,3302
Energy Drink J 45,156.3,5.32,South Korea,5.7,46
Energy Drink S 98,72.0,2.61,Canada,3.1,2157
Energy Drink C 27,83.0,3.38,USA,13.2,3046
Energy Drink Q 94,142.5,8.56,Canada,24.8,3651
Energy Drink T 34,180.5,5.22,Germany,48.1,2564
Energy Drink T 87,214.2,9.23,South Korea,4.1,455
Energy Drink A 79,185.4,8.41,Japan,33.6,305
Energy Drink E 68,273.7,2.69,Canada,8.0,857
Energy Drink N 12,68.7,5.18,South Korea,44.1,1757
Energy Drink X 20,256.6,2.31,France,39.5,1711
Energy Drink L 33,118.5,6.21,Canada,1.3,943
Energy Drink Y 17,84.2,1.09,South Korea,10.9,3731
Energy Drink M 54,253.2,6.72,Canada,40.2,3169
Energy Drink K 31,232.7,6.49,South Korea,14.2,2320
Energy Drink A 12,209.4,7.65,USA,35.2,3372
Energy Drink S 35,111.9,3.88,Canada,16.6,2365
Energy Drink Y 67,292.0,5.27,Canada,12.5,918
